image_id,category_id
340065,82
229142,82
500982,82
288471,82
248732,82
579332,82
177658,82
119276,82
266912,82
369977,82
180239,82
12805,82
349376,82
382559,82
384592,82
206685,82
198108,82
516046,82
72575,82
453601,82
137794,82
296739,82
268777,82
26662,82
57503,82
436975,82
112590,82
22863,82
286382,82
223366,82
173843,82
187400,82
334938,82
301431,82
191439,82
558711,82
266976,82
468518,82
29706,82
564912,82
568549,82
278732,82
131113,82
314929,82
246307,82
387678,82
355175,82
227652,82
405752,82
384085,82
264395,82
510552,82
381008,82
197561,82
418726,82
564759,82
521379,82
437509,82
174889,82
515843,82
567437,82
448351,82
402531,82
361205,82
79035,82
564884,82
228514,82
181885,82
304391,82
295889,82
253656,82
302240,82
213113,82
259137,82
265589,82
267048,82
95526,82
557205,82
394209,82
1271,82
552520,82
280508,82
235038,82
150300,82
407617,82
247318,82
124142,82
392627,82
181829,82
424307,82
321879,82
246089,82
529140,82
513466,82
520696,82
363022,82
268403,82
82597,82
47833,82
111152,82
93587,82
209068,82
54160,82
397203,82
485099,82
531963,82
538922,82
225363,82
132081,82
523055,82
357831,82
42725,82
328270,82
320875,82
486018,82
310021,82
408252,82
578769,82
341941,82
312403,82
156776,82
76477,82
554770,82
433168,82
76100,82
376047,82
352252,82
223500,82
391213,82
453706,82
29377,82
573341,82
369777,82
572826,82
546952,82
414539,82
479936,82
514772,82
208618,82
384085,82
30357,82
191156,82
290153,82
273371,82
213314,82
24823,82
492078,82
42277,82
294029,82
262495,82
476188,82
514251,82
518321,82
328654,82
521361,82
162346,82
102315,82
475645,82
325758,82
398349,82
472861,82
135822,82
428340,82
542359,82
531552,82
162813,82
431178,82
13176,82
555156,82
467262,82
258000,82
452909,82
13283,82
422161,82
27104,82
503598,82
375759,82
29592,82
124349,82
320667,82
56240,82
201406,82
566021,82
106902,82
521314,82
363410,82
54492,82
54521,82
155937,82
117784,82
532577,82
265161,82
309139,82
334328,82
39588,82
255368,82
478306,82
219361,82
270250,82
147054,82
197959,82
572754,82
395987,82
324103,82
475659,82
278936,82
360637,82
261858,82
469779,82
341834,82
299923,82
176174,82
579909,82
412545,82
388188,82
118027,82
554169,82
254101,82
270098,82
40338,82
227769,82
287265,82
270388,82
1360,82
519157,82
401766,82
328810,82
1709,82
87217,82
481144,82
293242,82
524649,82
550133,82
299122,82
277990,82
523921,82
436649,82
574735,82
202842,82
130011,82
81508,82
97529,82
580051,82
553310,82
302712,82
542213,82
448761,82
488422,82
168963,82
192196,82
32068,82
232689,82
243173,82
172680,82
36091,82
296040,82
571779,82
165513,82
429228,82
86797,82
393508,82
331551,82
364833,82
126651,82
119755,82
80549,82
485161,82
259188,82
141376,82
30449,82
363190,82
233319,82
311476,82
157811,82
504336,82
49673,82
528851,82
39698,82
379962,82
179186,82
223369,82
424632,82
2429,82
451033,82
455135,82
495122,82
116100,82
507871,82
518610,82
123855,82
578915,82
529562,82
360871,82
97914,82
174312,82
521334,82
24234,82
197583,82
491269,82
461221,82
544709,82
16963,82
25765,82
443635,82
82122,82
170908,82
512351,82
302511,82
247301,82
544601,82
353511,82
203843,82
399615,82
57673,82
252925,82
359037,82
206685,82
549725,82
423128,82
245230,82
333848,82
289276,82
366733,82
384957,82
464558,82
562008,82
463309,82
248033,82
363169,82
242210,82
292719,82
523921,82
504861,82
20809,82
41710,82
137666,82
111319,82
145180,82
396120,82
533255,82
95095,82
521953,82
457871,82
370783,82
424068,82
566992,82
60769,82
520637,82
77931,82
557227,82
466680,82
545705,82
214801,82
363191,82
244965,82
188858,82
227843,82
480241,82
452334,82
206662,82
314983,82
373461,82
500612,82
511781,82
246356,82
350960,82
531944,82
401416,82
88192,82
28650,82
91743,82
330112,82
440444,82
229832,82
370928,82
96690,82
253992,82
110797,82
373727,82
327768,82
480683,82
68422,82
476191,82
499004,82
449904,82
218454,82
75726,82
340659,82
328427,82
476055,82
180085,82
469786,82
70239,82
540210,82
549459,82
261205,82
101157,82
467447,82
19845,82
562071,82
117774,82
373568,82
418620,82
56647,82
570280,82
382261,82
282707,82
103504,82
330607,82
493428,82
186280,82
324732,82
552028,82
272480,82
19448,82
116224,82
211002,82
137284,82
166940,82
316026,82
68235,82
256835,82
502760,82
538805,82
25907,82
543947,82
512140,82
3915,82
36968,82
437756,82
489497,82
313061,82
570316,82
537761,82
246087,82
349709,82
88136,82
577239,82
74127,82
436539,82
470414,82
152626,82
403028,82
341781,82
488725,82
566146,82
288610,82
112320,82
294652,82
425141,82
203730,82
153998,82
64507,82
534366,82
443254,82
556954,82
503567,82
471992,82
406004,82
382924,82
46013,82
32674,82
213135,82
174876,82
201062,82
424337,82
330916,82
279450,82
244646,82
354932,82
101877,82
194616,82
435632,82
483690,82
149645,82
558031,82
287027,82
489510,82
150185,82
303148,82
456799,82
206577,82
267504,82
467654,82
22650,82
345399,82
334631,82
30915,82
355667,82
22857,82
166713,82
566992,82
175881,82
78642,82
474031,82
202131,82
224629,82
542548,82
254879,82
419700,82
39171,82
375331,82
481648,82
468834,82
350009,82
529676,82
297639,82
341218,82
59648,82
116588,82
559992,82
22924,82
13144,82
152090,82
100975,82
73094,82
460576,82
502700,82
79873,82
420747,82
181316,82
447840,82
505152,82
365525,82
217252,82
126610,82
